,count,mean,std,min,25%,50%,75%,max
AccY_centered_mad,9109.0,0.24139514295065803,0.08107435306346687,0.0037034153938292347,0.183052271604538,0.2308015376329422,0.2868469655513763,0.7490080595016478
AccY_centered_min,9109.0,-1.121695569935226,0.577332854913914,-17.95517173632457,-1.3069914416727713,-1.0016487297415215,-0.7894777109310445,-0.02404016956795733
AccY_centered_p25,9109.0,-0.24932038733482068,0.10559204806603716,-0.9150541079083665,-0.2933449178420835,-0.2281024089828133,-0.17627141260443663,0.03238436728123297
AccY_centered_median,9109.0,-0.0032682318204272135,0.07628648196855102,-0.38554247364955435,-0.03259290811233752,0.009718781526614317,0.04183605383346886,0.25552426966693664
AccY_centered_p75,9109.0,0.24972313887419165,0.10010627481459729,-0.33549202542260476,0.18301226036943316,0.23754698476324687,0.3040020900592208,0.7153751376451821
AccY_centered_max,9109.0,1.135826500072016,0.600120819616027,-0.23612963716939284,0.7601004237838918,0.9843609119388792,1.328154112958246,7.375772640709869
AccY_centered_iqr,9109.0,0.4990435262090124,0.18137714156462922,0.007321715354919323,0.37257565185427666,0.46754296869039536,0.5820765048265457,1.5944766402244568
AccY_centered_rms,9109.0,0.38860369455378724,0.13741037101927786,0.009517927214262069,0.2946655697039904,0.354419208065392,0.45038544723347373,1.6230197258741128
AccY_centered_skew,9109.0,-0.02366951835732489,0.6186731730894963,-9.447573671183997,-0.3799366778207838,-0.08872205049339654,0.27660990927831447,4.469786421449719
AccY_centered_kurt,9109.0,0.6373107217067019,2.680678450388324,-1.4746937196848053,-0.2891558290316145,0.11461888113284502,0.8439839121270083,146.31043778742654
AccY_centered_nan_frac,9109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AccZ_centered_mean,9109.0,0.000419157403697375,0.04947837604689918,-0.3510930914190636,-0.029401256681434663,-0.0005425360401471096,0.029000797424097634,0.48300045976768324
AccZ_centered_std,9109.0,1.4053323277910397,0.3726392194129978,0.007975955303590477,1.2372031006480182,1.4103298921196001,1.5934135489258494,2.4671900106382787
